time,w0,w1,w2,w3,p1,p2,p3
10:21:51,881.4395692,886.5486995,867.7131848,889.9814962,186.84,189.51,186.35
10:21:53,882.1787532,886.606162,869.0835986,890.7646048,186.94,189.42,186.35
10:21:55,882.3292658,885.9639338,868.1889764,892.7207243,187.05,189.57,186.09
10:21:57,882.5165703,888.4753841,868.8021444,890.2160983,186.72,189.51,186.47
10:21:59,883.1721362,886.9745982,870.3266879,892.122654,187.02,189.38,186.3
10:22:01,883.0840585,887.0422012,870.9331546,891.1974623,187,189.28,186.41
10:22:03,883.9325035,886.5182782,872.2633607,892.9123711,187.2,189.21,186.29
10:22:05,883.0182789,887.6438676,870.3668956,890.9727729,186.91,189.35,186.44
10:22:07,882.1620296,887.1267049,869.4052605,889.888977,186.86,189.37,186.47
10:22:09,882.9736826,886.9982592,869.2980399,892.5257732,186.99,189.5,186.21
10:22:11,883.1364592,886.879954,870.2998827,892.135871,187.03,189.38,186.29
10:22:13,882.9491546,886.4067333,870.6014408,891.7459688,187.07,189.31,186.32
10:22:15,882.5957288,885.64958,869.3080918,892.7141158,187.13,189.44,186.13
10:22:17,881.8844175,885.8523889,867.3982242,892.291171,187,189.62,186.09
10:22:19,883.0216236,888.2624347,869.8944547,890.843907,186.82,189.42,186.46
10:22:21,883.7507735,887.7486522,869.7503769,893.6492202,187,189.54,186.16
10:22:23,883.9525718,887.3768358,871.9215949,892.4696008,187.08,189.26,186.36
10:22:25,882.9157074,887.47148,869.9179092,891.2800687,186.92,189.4,186.38
10:22:27,883.0216236,887.4207778,869.4052605,892.149088,186.94,189.49,186.27
10:22:29,882.8265147,885.87605,870.6449992,891.8583135,187.13,189.29,186.28
10:22:31,882.0795264,885.9098514,868.2928464,891.9310071,187.02,189.52,186.17
10:22:33,883.2669034,888.8979026,869.485676,891.3527624,186.77,189.51,186.42
10:22:35,883.5422857,887.2348696,871.3419333,891.9640497,187.04,189.29,186.37
10:22:37,882.8198253,886.8900945,870.0217792,891.4618028,186.99,189.37,186.34
10:22:39,883.1097014,887.8906184,867.8070028,893.5269627,186.89,189.73,186.09
10:22:41,882.9837168,888.2759553,869.8207405,890.7910389,186.81,189.43,186.46
10:22:43,882.2958185,885.308185,869.4186631,892.0499603,187.14,189.39,186.18
10:22:45,881.6580912,887.0996637,867.8271067,889.9781919,186.79,189.52,186.38
10:22:47,881.1797956,886.9576974,867.4149774,889.1058684,186.74,189.52,186.44
10:22:51,882.7150239,887.0185401,870.5411292,890.5134814,186.95,189.29,186.46
10:22:53,883.7641524,888.3807399,870.6785056,892.1556965,186.91,189.41,186.38
10:22:55,883.320419,886.3965928,870.2663763,893.1866244,187.13,189.41,186.17
10:22:57,881.963576,887.2517704,866.7079913,891.838488,186.81,189.72,186.16
10:22:59,881.6870788,886.7346076,868.654716,889.604811,186.85,189.41,186.44
10:23:01,882.6648531,886.4844767,870.2563243,891.167724,187.02,189.32,186.36
10:23:03,881.8587746,886.9948791,869.1204557,889.3999471,186.83,189.37,186.49
10:23:05,882.1486507,886.2580067,868.3933657,891.696405,186.98,189.51,186.21
10:23:07,883.6381678,886.7751694,871.5764785,892.4662966,187.12,189.27,186.31
10:23:09,882.1118587,887.5188021,868.966326,889.7898493,186.8,189.43,186.47
10:23:11,883.4185309,887.3159932,871.6066343,891.2569389,187.01,189.23,186.45
10:23:13,883.1810555,886.8664334,869.3181437,893.2494052,187.04,189.52,186.14
10:23:17,883.3839687,887.0050195,871.0705311,891.9871795,187.05,189.3,186.35
10:23:19,883.5422857,888.8066386,869.3784554,892.3638647,186.82,189.57,186.31
10:23:21,881.9591163,887.4342984,868.4335735,889.9451494,186.79,189.48,186.43
10:23:23,882.9747975,886.8427724,868.7183783,893.2527095,187.01,189.58,186.11
10:23:26,882.9368906,887.0422012,868.5776512,893.0841924,186.98,189.6,186.13
10:23:28,882.3827814,887.1503659,869.0567934,890.8637325,186.89,189.45,186.36
10:23:30,882.8454682,887.4207778,869.0065338,892.020222,186.91,189.52,186.26
10:23:32,883.1910897,887.654008,869.9782208,891.8583135,186.93,189.43,186.34
10:23:34,882.5165703,887.038821,867.6428212,892.7636796,186.92,189.67,186.11
10:23:36,881.5287618,885.7476043,867.5557045,891.1842453,186.96,189.54,186.19
10:23:38,882.9837168,887.904139,869.4823253,891.4882368,186.87,189.47,186.36
10:23:40,883.1777108,886.9137555,870.2998827,892.2250859,187.03,189.39,186.28
10:23:42,883.3951178,887.5559837,870.202714,892.3374306,186.97,189.43,186.3
10:23:44,882.2579117,887.0016394,868.4637293,891.2238964,186.89,189.52,186.29
10:23:46,882.9402354,886.4439149,870.5109734,891.7724029,187.07,189.32,186.31
10:23:48,883.8343916,887.5323227,871.9551014,891.9343114,187.04,189.24,186.42
10:23:50,883.2925463,888.769457,868.3900151,892.6348136,186.79,189.67,186.24
10:23:52,881.4484885,886.3492707,868.4101189,889.5155961,186.87,189.41,186.42
10:23:54,881.5845072,886.8765739,867.2306919,890.5663495,186.81,189.6,186.29
10:23:56,883.1844002,887.8737177,868.2727425,893.3055776,186.9,189.67,186.13
10:23:58,882.7005301,885.6969021,870.7857263,891.5212794,187.14,189.25,186.31
10:24:00,882.8621918,887.6742889,869.0936505,891.736056,186.88,189.51,186.31
10:24:02,882.847698,888.5328466,869.1372089,890.8108644,186.76,189.5,186.44
10:24:04,883.4140713,888.5903091,868.8792092,892.6876817,186.83,189.62,186.25
10:24:06,881.7762714,887.6472477,868.654716,888.9770024,186.73,189.42,186.54
10:24:08,881.5521749,885.6056381,868.768638,890.1962728,186.99,189.38,186.34
10:24:10,882.0025977,886.5520796,867.2440945,892.109437,186.92,189.65,186.13
10:24:12,882.2266942,887.5897852,867.5624058,891.4452815,186.8,189.64,186.26
10:24:14,883.2813972,886.6230628,870.986765,892.1391753,187.09,189.3,186.31
10:24:16,883.5545497,886.4270141,870.2831295,893.8342585,187.16,189.44,186.11
10:24:18,882.1163184,887.1131843,868.862456,890.302009,186.85,189.44,186.4
10:24:20,883.6080652,887.6979499,869.5627408,893.4608776,186.98,189.55,186.17
10:24:22,882.0728369,885.8523889,868.3095996,891.9508327,187.03,189.51,186.16
10:24:24,882.1631445,887.8466765,866.8185626,891.7393603,186.76,189.74,186.21
10:24:26,882.0427344,886.6805253,868.5675993,890.7976474,186.91,189.47,186.32
10:24:28,883.4040371,888.1982119,870.7321159,891.2139836,186.88,189.36,186.46
10:24:30,882.1832128,886.514898,868.4436254,891.4981496,186.95,189.51,186.24
10:24:32,883.720671,887.6235867,872.6687887,890.8042559,187.01,189.13,186.56
